n_estimators,max_leaf_nodes,optimal_n_features,accuracy,estimated_memory_usage_kb
10,10,38,0.9443861693861696,5.4921875
10,11,16,0.9318764568764568,5.8671875
10,12,33,0.9415889665889664,6.546875
10,13,18,0.9373737373737374,6.9765625
10,14,31,0.9415986790986792,7.625
10,15,11,0.9401806526806528,8.015625
10,16,17,0.943006993006993,8.609375
10,17,22,0.9457362082362084,9.1953125
10,18,23,0.9499125874125872,9.75
10,19,20,0.943006993006993,10.2734375
10,20,31,0.9638403263403263,10.90625
10,21,22,0.9499514374514376,11.3828125
10,22,19,0.9554972804972806,11.90625
10,23,15,0.9499222999223,12.421875
10,24,12,0.9457750582750584,12.9453125
10,25,16,0.9485431235431236,13.5234375
10,26,25,0.9499222999223,14.140625
10,27,29,0.9568861693861692,14.71875
10,28,12,0.9513209013209012,15.1328125
10,29,23,0.9526903651903652,15.765625
10,30,20,0.9457556332556332,16.2890625
10,31,14,0.94996114996115,16.7890625
10,32,20,0.9554778554778556,17.3828125
10,33,16,0.9540889665889664,17.8984375
10,34,21,0.9527292152292152,18.484375
10,35,31,0.9541083916083916,19.0546875
10,36,20,0.955506993006993,19.5703125
10,37,23,0.9513111888111888,20.140625
10,38,21,0.9554681429681432,20.671875
10,39,12,0.9485334110334108,21.1484375
10,40,36,0.963830613830614,20.953125
10,41,36,0.9638403263403263,22.2109375
10,42,23,0.9499320124320124,22.328125
10,43,23,0.9499514374514372,23.3671875
10,44,33,0.9513403263403264,23.390625
10,45,33,0.9527292152292152,23.71875
10,46,33,0.9555167055167054,23.4453125
10,47,33,0.9555167055167054,23.7734375
10,48,15,0.9513306138306138,25.0546875
10,49,27,0.9527097902097902,24.875
10,50,27,0.9527097902097902,24.3828125
11,10,14,0.9262820512820512,5.82421875
11,11,23,0.9290695415695416,6.49609375
11,12,10,0.9332556332556332,6.99609375
11,13,36,0.9388306138306138,7.80078125
11,14,31,0.9402000777000776,8.36328125
11,15,24,0.9513403263403262,8.91015625
11,16,26,0.9471542346542348,9.52734375
11,17,20,0.9485334110334108,10.08203125
11,18,16,0.9540598290598292,10.65234375
11,19,22,0.9457944832944832,11.30078125
11,20,25,0.955526418026418,11.92578125
11,21,23,0.9513209013209014,12.51171875
11,22,23,0.9499222999223,13.11328125
11,23,13,0.9527000777000776,13.63671875
11,24,23,0.949902874902875,14.31640625
11,25,32,0.9513403263403262,14.98828125
11,26,20,0.9513111888111888,15.49609375
11,27,30,0.9541083916083916,16.17578125
11,28,24,0.9624708624708624,16.73046875
11,29,24,0.9569055944055944,17.33203125
11,30,16,0.954118104118104,17.87109375
11,31,20,0.9527195027195028,18.50390625
11,32,20,0.954079254079254,19.10546875
11,33,19,0.954118104118104,19.69921875
11,34,31,0.956895881895882,20.39453125
11,35,16,0.9499222999223,20.87890625
11,36,25,0.9568861693861692,21.55078125
11,37,17,0.9568861693861692,22.08984375
11,38,24,0.9513500388500388,22.74609375
11,39,28,0.9582750582750584,22.94140625
11,40,15,0.9527000777000778,23.87890625
11,41,15,0.9513111888111888,24.48046875
11,42,23,0.954118104118104,24.54296875
11,43,14,0.9513306138306138,25.67578125
11,44,17,0.9540986790986792,25.58984375
11,45,21,0.9541278166278166,25.83984375
11,46,14,0.9554972804972806,27.04296875
11,47,14,0.9568861693861692,28.08203125
11,48,14,0.9568861693861692,28.24609375
11,49,23,0.9652195027195029,27.76953125
11,50,23,0.963830613830614,27.22265625
12,10,16,0.930448717948718,6.359375
12,11,23,0.9388111888111887,7.0703125
12,12,31,0.9388014763014764,7.7890625
12,13,22,0.9471542346542348,8.375
12,14,22,0.942968142968143,9.03125
12,15,25,0.9471639471639473,9.7109375
12,16,19,0.9471445221445224,10.3203125
12,17,11,0.9416083916083916,10.9140625
12,18,25,0.9513209013209012,11.6796875
12,19,25,0.9485431235431236,12.3359375
12,20,21,0.9513306138306138,12.9609375
12,21,24,0.9568861693861695,13.640625
12,22,16,0.9485431235431236,14.234375
12,23,14,0.9499222999223,14.875
12,24,37,0.954118104118104,15.7109375
12,25,17,0.9527292152292152,16.2109375
12,26,27,0.9541278166278166,16.9453125
12,27,13,0.9527195027195028,17.4921875
12,28,32,0.9540986790986792,18.296875
12,29,16,0.956876456876457,18.828125
12,30,28,0.955506993006993,19.578125
12,31,19,0.954118104118104,20.1640625
12,32,28,0.954079254079254,20.890625
12,33,16,0.956895881895882,21.453125
12,34,36,0.9582944832944832,22.265625
12,35,20,0.9596736596736598,22.796875
12,36,30,0.9540986790986792,23.53125
12,37,21,0.949941724941725,24.1171875
12,38,34,0.9554972804972806,24.875
12,39,19,0.9541083916083916,25.0859375
12,40,26,0.955506993006993,26.015625
12,41,21,0.9596736596736598,26.46875
12,42,16,0.9540889665889664,26.921875
12,43,21,0.955506993006993,27.671875
12,44,24,0.959644522144522,28.4609375
12,45,19,0.9541278166278166,28.09375
12,46,23,0.9513209013209014,27.6328125
12,47,23,0.9513209013209014,28.7265625
12,48,23,0.9513209013209014,29.0546875
12,49,23,0.9513209013209014,28.7265625
12,50,23,0.9513209013209014,30.203125
13,10,25,0.9304778554778554,6.94921875
13,11,21,0.941579254079254,7.62890625
13,12,16,0.9402000777000776,8.30078125
13,13,26,0.9471736596736596,9.08984375
13,14,16,0.941579254079254,9.72265625
13,15,25,0.9443764568764568,10.50390625
13,16,33,0.9513209013209012,11.27734375
13,17,23,0.9499320124320124,11.91015625
13,18,24,0.9513209013209012,12.62890625
13,19,23,0.948513986013986,13.33203125
13,20,22,0.9554972804972806,14.03515625
13,21,19,0.9499514374514376,14.72265625
13,22,25,0.9568861693861692,15.48046875
13,23,15,0.955487567987568,16.11328125
13,24,24,0.9554778554778556,16.89453125
13,25,19,0.9471833721833722,17.56640625
13,26,16,0.9540986790986792,18.25390625
13,27,15,0.9582750582750584,18.95703125
13,28,23,0.9554584304584304,19.73046875
13,29,20,0.9582750582750584,20.41796875
13,30,37,0.9582944832944832,21.26171875
13,31,25,0.955506993006993,21.87890625
13,32,19,0.9541083916083916,22.54296875
13,33,18,0.954118104118104,23.24609375
13,34,16,0.961072261072261,23.94140625
13,35,33,0.9582653457653456,24.78515625
13,36,26,0.9540986790986792,25.33203125
13,37,25,0.9583041958041958,25.87109375
13,38,22,0.955487567987568,26.77734375
13,39,20,0.9568764568764568,27.52734375
13,40,23,0.9554778554778556,28.15234375
13,41,34,0.9666472416472416,28.89453125
13,42,26,0.955487567987568,29.16015625
13,43,18,0.9568861693861692,29.31640625
13,44,18,0.961052836052836,30.35546875
13,45,18,0.961052836052836,30.41015625
13,46,17,0.9527000777000778,30.67578125
13,47,15,0.9541083916083916,32.19140625
13,48,15,0.9541083916083916,32.51953125
13,49,17,0.955506993006993,31.33203125
13,50,17,0.955506993006993,31.76953125
14,10,24,0.9360139860139862,7.4609375
14,11,30,0.944376456876457,8.2734375
14,12,22,0.942987567987568,8.9765625
14,13,22,0.9388111888111887,9.7421875
14,14,34,0.9513014763014762,10.6015625
14,15,22,0.9485334110334108,11.2734375
14,16,26,0.9457459207459208,12.0703125
14,17,27,0.9513500388500388,12.84375
14,18,16,0.9582750582750584,13.5234375
14,19,19,0.9526903651903652,14.3125
14,20,31,0.9513306138306138,15.171875
14,21,26,0.9485431235431236,15.8984375
14,22,24,0.9596639471639472,16.6484375
14,23,23,0.9499320124320124,17.40625
14,24,21,0.9582556332556332,18.15625
14,25,25,0.9596736596736596,18.953125
14,26,27,0.9596736596736598,19.734375
14,27,20,0.9541083916083916,20.4453125
14,28,18,0.9554778554778556,21.1953125
14,29,20,0.954079254079254,21.9765625
14,30,27,0.9569055944055944,22.796875
14,31,36,0.9624708624708624,23.6328125
14,32,29,0.9582556332556332,24.34375
14,33,21,0.9513111888111888,25.046875
14,34,13,0.9554972804972804,25.75
14,35,21,0.9540986790986792,26.578125
14,36,25,0.955487567987568,27.375
14,37,10,0.9527292152292152,28.0234375
14,38,20,0.9541472416472416,28.8671875
14,39,21,0.9541278166278166,29.4765625
14,40,23,0.955506993006993,30.3671875
14,41,33,0.9624320124320124,30.71875
14,42,33,0.9624320124320124,31.703125
14,43,29,0.9555361305361304,31.7265625
14,44,31,0.9568667443667443,31.796875
14,45,14,0.955506993006993,33.5234375
14,46,27,0.9554972804972806,31.65625
14,47,14,0.954118104118104,35.4375
14,48,27,0.9541083916083916,32.4765625
14,49,27,0.9541083916083916,33.8984375
14,50,27,0.9541083916083916,33.625
15,10,37,0.9527195027195028,8.08203125
15,11,26,0.9388111888111887,8.81640625
15,12,14,0.942987567987568,9.54296875
15,13,30,0.9485625485625484,10.48828125
15,14,16,0.94020979020979,11.19921875
15,15,21,0.9457750582750584,12.05859375
15,16,24,0.9540986790986792,12.90234375
15,17,20,0.947144522144522,13.69140625
15,18,23,0.9541083916083916,14.53515625
15,19,18,0.9513111888111888,15.31640625
15,20,19,0.9541083916083916,16.14453125
15,21,17,0.9541472416472416,16.94921875
15,22,20,0.9541083916083916,17.79296875
15,23,33,0.9638500388500388,18.71484375
15,24,20,0.956876456876457,19.43359375
15,25,44,0.9694055944055944,20.44140625
15,26,50,0.9652583527583528,21.30859375
15,27,18,0.9554972804972804,21.87890625
15,28,28,0.9541083916083916,22.77734375
15,29,17,0.9582653457653456,23.51171875
15,30,22,0.9541083916083916,24.37109375
15,31,19,0.956857031857032,25.16796875
15,32,30,0.9568861693861692,26.07421875
15,33,38,0.963869463869464,26.95703125
15,34,24,0.9582750582750584,27.66796875
15,35,14,0.954118104118104,28.41015625
15,36,21,0.9555167055167056,29.28515625
15,37,27,0.9541083916083916,29.98828125
15,38,28,0.955506993006993,30.87109375
15,39,37,0.9624902874902876,31.48828125
15,40,25,0.956895881895882,32.54296875
15,41,30,0.968026418026418,32.63671875
15,42,30,0.9596736596736598,33.40234375
15,43,23,0.9568861693861692,34.49609375
15,44,22,0.9568861693861692,35.58203125
15,45,22,0.9568861693861692,35.63671875
15,46,22,0.9568861693861692,36.83984375
15,47,22,0.9568861693861692,37.27734375
15,48,24,0.956895881895882,37.34765625
15,49,24,0.956895881895882,37.12890625
