n_estimators,max_leaf_nodes,accuracy
29,38,0.9342892613283672
34,24,0.9331346989447548
34,25,0.9320297951582868
33,39,0.9320297951582868
42,49,0.9309186840471756
35,24,0.9309062693978896
26,47,0.929826194909994
34,39,0.9298013656114216
31,33,0.9287026691495964
34,38,0.9286840471756672
37,38,0.928677839851024
20,37,0.9286716325263812
43,50,0.928665425201738
42,43,0.9286405959031658
40,40,0.9275853507138424
16,23,0.9275853507138424
36,29,0.9275729360645562
45,48,0.9275667287399132
45,47,0.9275667287399132
23,41,0.92756052141527
